,course_name,description,url,clean_text
0,CS50's Introduction to Computer Science,An introduction to the intellectual enterprises of computer science and the art of programming.,https://www.classcentral.com/course/computer-science-harvard-university-cs50-s-introd-442,introduction intellectual enterprise computer science art programming
1,Harvard CS50 – Full Computer Science University Course,"Learn the basics of computer science from Harvard University. This is CS50, an introduction to the intellectual enterprises of computer science and the art of programming.",https://www.classcentral.com/classroom/freecodecamp-harvard-cs50-full-computer-science-university-course-119762,learn basic computer science harvard university introduction intellectual enterprise computer science art programming
2,Introduction to Computer Science and Programming Using Python,An introduction to computer science as a tool to solve real-world analytical problems using Python 3.5.,https://www.classcentral.com/course/computer-science-massachusetts-institute-of-techn-1341,introduction computer science tool solve real world analytical problem use python
3,Introduction to Electrical Engineering and Computer Science I,"This course provides an integrated introduction to electrical engineering and computer science, taught using substantial laboratory experiments with mobile robots.",https://www.classcentral.com/classroom/mit-ocw-6-01sc-introduction-to-electrical-engineering-and-computer-science-i-spring-2011-40932,course provide integrated introduction electrical engineering computer science teach use substantial laboratory experiment mobile robot
4,CS50's Computer Science for Business Professionals,This is CS50’s introduction to computer science for business professionals.,https://www.classcentral.com/course/computer-science-harvard-university-cs50-s-comput-10143,introduction computer science business professional
5,"Internet History, Technology, and Security","This course will open up the Internet and show you how it was created, who created it and how it works. Along the way we will meet many of the innovators who developed the Internet and Web technologies that we use today.",https://www.classcentral.com/course/insidetheinternet-335,course open internet create create work way meet innovator develop internet web technology use today
6,Computer Science 101,Introduction to Computer Science for a zero-prior-experience audience. Play with little phrases of code to understand what computers are all about.,https://www.classcentral.com/course/computer-science-stanford-university-computer-sci-2175,introduction computer science zero prior experience audience play little phrase code understand computer
7,Computational Social Science Methods,"Explore computational social science's impact on society, covering data science, machine learning, social networks, and simulations. Gain insights into digital footprints and emerging social patterns.",https://www.classcentral.com/course/computational-social-science-methods-17299,explore computational social science impact society cover datum science machine learning social network simulation gain insight digital footprint emerge social pattern
8,Functional Programming Principles in Scala,In this course you will discover the elements of the functional programming style and learn how to apply them usefully in your daily programming tasks.,https://www.classcentral.com/course/progfun-422,course discover element functional programming style learn apply usefully daily programming task
9,Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),"Hands-on journey to build a modern computer system from logic gates to a functioning general-purpose computer, covering hardware, machine language, and assembly.",https://www.classcentral.com/course/build-a-computer-3234,hand journey build modern computer system logic gate function general purpose computer cover hardware machine language assembly
10,Computer Simulations,"Explore complex social phenomena through computer simulations. Learn to create and analyze agent-based models, combining hypothetical scenarios with real-world data to study and improve societal systems.",https://www.classcentral.com/course/computer-simulations-17986,explore complex social phenomena computer simulation learn create analyze agent base model combine hypothetical scenario real world datum study improve societal system
11,Introduction to Computer Science and Programming in Python,The course is intended for students with little or no programming experience. It aims to provide students with an understanding of the role computation can play in solving problems and to help students.,https://www.classcentral.com/classroom/mit-ocw-6-0001-introduction-to-computer-science-and-programming-in-python-fall-2016-40930,course intend student little programming experience aim provide student understanding role computation play solve problem help student
12,An Introduction to Logic for Computer Science,"Explore propositional logic fundamentals and applications in computer science, enhancing problem-solving skills through hands-on exercises and real-world examples.",https://www.classcentral.com/course/an-introduction-to-logic-in-computer-science-202050,explore propositional logic fundamental application computer science enhance problem solve skill hand exercise real world example
13,CS50's Computer Science for Lawyers,"This course is a variant of Harvard University's introduction to computer science, CS50, designed especially for lawyers (and law students).",https://www.classcentral.com/course/computer-science-harvard-university-cs50-s-comput-16857,course variant harvard university introduction computer science design especially lawyer law student
